date,slug,title,keyword,url,status,notes
2026-04-08,"children-insurance-parents-guide","",,"https://vainzof.co.il/children-insurance-parents-guide.html","נמחק",
2026-04-08,"dollar-shekel-pension-insurance","דולר-שקל עולה: מה זה אומר על הפנסיה שלכם?",,"https://vainzof.co.il/dollar-shekel-pension-insurance.html","",
2026-04-08,"insurance-pension-fighters-miluim","",,"https://vainzof.co.il/insurance-pension-fighters-miluim.html","נמחק",
2026-04-08,"matthew-perry-life-insurance-unexpected","",,"https://vainzof.co.il/matthew-perry-life-insurance-unexpected.html","נמחק",
2026-04-08,"mivtza-hoshech-nitzchi-bituach","מבצע חושך נצחי: מה לבדוק בביטוח ופנסיה",,"https://vainzof.co.il/mivtza-hoshech-nitzchi-bituach.html","",
2026-04-08,"travel-insurance-before-flight","ביטוח נסיעות לחו"ל: מה חשוב לבדוק לפני שאתם עולים לטיסה עם ארקיע",,"https://vainzof.co.il/travel-insurance-before-flight.html","",
2026-04-08,"travel-insurance-check-before-flight","טסים עם ארקיע? בדקו אם הביטוח מכסה אתכם",,"https://vainzof.co.il/travel-insurance-check-before-flight.html","",
2026-04-08,"travel-insurance-eurovision-checklist","נוסעים לאירוויזיון? 5 בדיקות בביטוח הנסיעות",,"https://vainzof.co.il/travel-insurance-eurovision-checklist.html","",
2026-04-08,"travel-insurance-paris-france","",,"https://vainzof.co.il/travel-insurance-paris-france.html","נמחק",
2026-04-08,"travel-insurance-paris","",,"https://vainzof.co.il/travel-insurance-paris.html","נמחק",
2026-04-09,"home-insurance-weather-damage","",,"https://vainzof.co.il/home-insurance-weather-damage.html","נמחק",
2026-04-09,"maccabi-supplementary-insurance-check","",,"https://vainzof.co.il/maccabi-supplementary-insurance-check.html","נמחק",
2026-04-09,tel-aviv-35-home-insurance-check,תל אביב 35: מה צריך לבדוק בביטוח הדירה והרכוש שלכם עכשיו,תל אביב 35 ביטוח דירה,https://vainzof.co.il/tel-aviv-35-home-insurance-check.html,,
2026-04-09,holocaust-remembrance-day-insurance-rights,יום השואה 2025: מה מגיע לכם (ולהורים שלכם) מהביטוח — וכמעט אף אחד לא בדק,זכויות ביטוח ניצולי שואה,https://vainzof.co.il/holocaust-remembrance-day-insurance-rights.html,,
2026-04-09,jerusalem-marathon-insurance-coverage,מרתון ירושלים 2025: האם הביטוח שלך מכסה אותך בזמן ריצה?,ביטוח מרתון ירושלים,https://vainzof.co.il/jerusalem-marathon-insurance-coverage.html,,
2026-04-09,jerusalem-marathon-insurance-guide,מרתון ירושלים: איזה ביטוח אתם צריכים לפני שאתם יוצאים לרוץ?,ביטוח מרתון ירושלים,https://vainzof.co.il/jerusalem-marathon-insurance-guide.html,,
2026-04-09,insurance-pinui-binui,פינוי בינוי וביטוח: מה חייבים לבדוק לפני שעוזבים את הדירה,ביטוח בפינוי בינוי,https://vainzof.co.il/insurance-pinui-binui.html,,
2026-04-09,pinuy-binuy-insurance-checklist,פינוי בינוי וביטוח: מה צריך לבדוק לפני שאתם עוזבים את הדירה,ביטוח פינוי בינוי,https://vainzof.co.il/pinuy-binuy-insurance-checklist.html,,
2026-04-09,bill-ackman-pension-portfolio-review,מה ביל אקמן מלמד אותנו על ניהול הכסף שלנו — ולמה הפנסיה שלך מחכה לבדיקה,בדיקת תיק פנסיה,https://vainzof.co.il/bill-ackman-pension-portfolio-review.html,,
2026-04-09,bituah-leumi-vs-private-insurance,ביטוח לאומי וביטוח פרטי: מה מכסה המדינה ומה אתם צריכים לדאוג לבד,ביטוח לאומי,https://vainzof.co.il/bituah-leumi-vs-private-insurance.html,,
2026-04-09,tel-aviv-35-index-effect-on-pension,מדד תל אביב 35 עולה או יורד — מה זה עושה לפנסיה ולביטוחים שלכם?,מדד תל אביב 35 פנסיה,https://vainzof.co.il/tel-aviv-35-index-effect-on-pension.html,,
2026-04-09,gal-hirsch-pension-insurance-employees,גל הירש ושירות המדינה: מה זה אומר על הביטוח הפנסיוני שלכם כשכירים?,ביטוח פנסיוני לשכירים,https://vainzof.co.il/gal-hirsch-pension-insurance-employees.html,,
